Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	accentuation				PHN		重音法	A					√		1
	accentuation				#		重讀度	D				√			2
	acceptability				GEN		可接受性	A		√		√			1
	acceptability				GEN		接受度	A		√					1
	acceptability				GEN		可接受性	A					√		1
	acceptable						可接受的						√		100
	acceptable alternative method						達意詞選擇法						√		100
	acceptable word method						達意詞選擇法						√		100
	access						途徑						√		100
	accessibility				PSY	SYN	可及性	R				√			0
	accessibility				PSY	SYN	可及性	R					√		0
	accessibility				#		可接近性	D		√					2
	accessibility scale						可及性梯度						√		100
*	accessory verb			auxiliary verb			助動詞						√		100
	accidence				MOR		詞形變化	R			√	√			0
	accidence				MOR		詞形變化	R					√		0
	accidence				#		詞法	D		√					2
	accidence				#		詞類變化	D		√					2
*	accommodation			accommodate	SOC		調適	R				√			0
	accommodation				SOC		調適	R		√					0
	accommodation				SOC		部份同化	A		√					1
	accommodation				SOC		部分同化	A					√		1
*	accommodation			accommodate 	#		接納	D				√			2
	accommodation						會合						√		100
	accommodation theory						適應理論						√		100
	accompanying codes						補充碼						√		100
	accountability						可說明性						√		100
	acculturation						語言文化適應						√		100
	acculturation						語言文化移入						√		100
	acculturation method						文化移入法						√		100
	accuracy						準確						√		100
	accuracy						準確度						√		100
*	accusative			accusative case			賓格						√		100
*	accusative case			accusative			賓格						√		100
	accusative language						賓格語言						√		100
	accusative plus infinitive construction						賓格加不定式結構						√		100
	accusativization						賓格化						√		100
	Achang language				LAN	TYP	阿昌語	R		√	√				0
	achievement strategy						獲取策略						√		100
	achievement test						成績考試						√		100
	acoustic				PHT		聲學的	R		√		√			0
	acoustic				#		聲響的	D		√					2
	acoustic cue						聲學線索						√		100
	acoustic feature				PHT		聲學特徵	R		√		√			0
	acoustic feature				PHT		聲學特徵	R					√		0
	acoustic feature				#		聲學成分	D		√					2
	acoustic filtering						聲學過濾						√		100
	acoustic formant						聲學共振幅						√		100
	acoustic formant						音響共振峰						√		100
	acoustic image						聲學形象						√		100
	acoustic phonetics				PHT		聲學語音學	R		√	√	√			0
	acoustic phonetics				PHT		言語聲學	R		√					0
	acoustic phonetics				PHT		聲學語音學	R					√		0
	acoustic phonetics				#		聲響語音學	D		√					2
	acoustic response						語聲反應						√		100
	acoustically adequate message						聽覺上足夠清楚的信息						√		100
	acoustics				PHT		聲學	R		√		√			0
	acoustics				#		音響學	D		√					2
	acquired thought						習得思想						√		100
*	acquisition			acquire	PSY	APL	獲得	R				√			0
*	acquisition			acquire	PSY	APL	習得	A				√			1
	acquisition				PSY	APL	習得	A		√					1
	acquisition				PSY	APL	習得	A					√		1
*	acquisition order			order of acquisition			習得順序						√		100
	Acquisition-Learning Hypothesis						習得和學得假設						√		100
	acrolect				SOC		上層語	R						√	0
	acrolect				SOC		（流行於某一地區的）標準方言	A		√					1
	acrolect				SOC		高勢語	A				√			1
	acrolect				SOC		高言	A		√					1
	acrolect				#		上層社會語言	D		√					2
	acrolect						上層方言						√		100
*	acrology			acrophony			截頭表音法						√		100
	acronym				LEX		首字母縮拼詞	R					√	√	0
	acronym				LEX		縮略詞	A		√					1
*	acronym			contraction	#		簡縮	D			√				2
*	acronym			contraction	#		緊縮	D			√				2
	acronym				#		頭字語	D		√					2
	acronym						首字母組合詞						√		100
	acronymizing						首字母縮略法						√		100
	acronyms				#		縮略詞	D				√			2
	acrophone						首字母縮拼詞						√		100
*	acrophony			acrology			截頭表音法						√		100
	act						話目						√		100
	act						行為						√		100
	act strategy						行為策略						√		100
	actant						主價語						√		100
	action noun						行為名詞						√		100
	action structure						行動結構						√		100
	action verb						行為動詞						√		100
	action-event coherence						行動－事件連貫						√		100
	actional passive						動作被動						√		100
	actional passive						動作被動語態						√		100
	activated information						被激發的信息						√		100
	active				SEM	SYN	主動態	R				√			0
	active				#		主動的	D		√					2
	active				#		積極的	D		√					2
	active						主動式						√		100
	active articulator						積極發音器官						√		100
	active cavity						積極聲腔						√		100
	active language						主動式語言						√		100
	active language knowledge						主動語言知識						√		100
	active passive voice						主動式被動語態						√		100
	active politeness strategies						積極的禮貌策略						√		100
	active vocabulary				LEX		主動詞彙	R				√			0
	active vocabulary				#		主動應用字彙	D		√					2
	active vocabulary						積極詞彙						√		100
	active voice						主動語態						√		100
	actives with complex transitive verbs						複合及物動詞主動句						√		100
	actives with corresponding passives						有被動式的主動句						√		100
	actives with ditransitive verbs						雙賓及物動詞型主動句						√		100
	actives with monotransitive verbs						單賓及物動詞型主動句						√		100
	actives with prepositional verbs						動介動詞型主動句						√		100
	actives with verb + adverb + preposition structures						動副介詞型主動句						√		100
	actives with verb + adverbial particle structures						動副動詞型主動句						√		100
	actives with verb + noun + preposition structures						動名介動詞型主動句						√		100
	activity verb						行為動詞						√		100
	actor						動作者						√		100
	actor						施事						√		100
	actor-action model						動作者－動作模型						√		100
	actor-action-goal				SEM	SYN	施事－動作－目的	R		√					0
	actor-action-goal				SEM	SYN	動作者－行動－目標	A				√			1
	actor-action-goal				SEM	SYN	動作者－行動－目標	A					√		1
	actual present						現實現在時						√		100
*	actualization			actualize	GEN		實現	R				√			0
*	actualization			realization	GEN		實現	R				√			0
*	actualization			realize	GEN		實現	R				√			0
	actualization				#		真實化	D		√					2
*	actualization			realization			具體化						√		100
*	actualization			realization			體現						√		100
*	actualize			actualization	GEN		實現	R				√			0
*	actualize			realization	GEN		實現	R				√			0
*	actualize			realize	GEN		實現	R				√			0
	actualize				#		真實化	D		√					2
