Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	Esperanto				GEN		世界語	R		√	√				0
	Esperanto				GEN		世界語	R					√		0
	essay test						作文考試	D					√		2
	essential rule				PHI		必要性規則						√		100
	essive				SEM	MOR	存在格	A		√					1
	essive				SEM	MOR	存格	A				√			1
	essive				SEM	MOR	持續格	A		√					1
*	EST	EST	extended standard theory		SYN		擴充標準理論	R			√				0
*	EST	EST	extended standard theory		SYN		擴展標準理論	A			√				1
*	EST	EST	extended standard theory		SYN		擴展的標準理論	A				√			1
*	EST	EST	English for Science and Technology		#		科技英文	D		√					2
*	EST	EST	English for Science and Technology		APL		科技英語						√		100
*	EST	EST	Extended Standard Theory		APL		擴充式標準理論						√		100
*	Estuary English	EE	Estuary English		SOC		港灣英語						√		100
	état de langue				SGN		語言狀態						√		100
	ethic construction						泛指結構	D					√		2
	ethnographic linguistics				SOC		人類語言學						√		100
	ethnographic linguistics				SOC		人種語言學						√		100
	ethnographic research				SOC		人種學研究						√		100
	ethnography				SOC		人種學						√		100
	ethnography of communication				OTH		信遞人類文化學	R				√			0
	ethnography of communication				#		交際民族誌學	D			√				2
	ethnography of communication				#		溝通人種誌	D		√					2
	ethnography of communication				SOC		人種交際學						√		100
	ethnography of speaking				OTH		言語人類文化學	R			√	√			0
	ethnography of speaking				#		言語人種學	D			√				2
	ethnography of speaking				#		言語民族學	D			√				2
	ethnography of speaking				#		言談民族學	D			√				2
	ethnography of speaking				#		說話人種誌	D		√					2
	ethnography of speaking				SOC		人種言語學						√		100
	ethnolinguistics				OTH		人類文化語言學	R		√	√	√			0
	ethnolinguistics				OTH		人類文化語言學	R					√		0
	ethnolinguistics				OTH	TYP	民族學派語言學	A		√					1
	ethnolinguistics				#		人種語言學	D			√				2
	ethnology				SOC		人類文化學						√		100
	ethnomethodologist				SOC		人類方法學者						√		100
	ethnomethodologist				SOC		種族方法論者						√		100
	ethnomethodology				SOC		人類方法學						√		100
	ethnomethodology				SOC		種族方法學						√		100
	ethnonymics				#		人種學	D		√					2
	ethnonymics				#		民族學	D		√					2
	ethnopoetics				OTH	DSC	人類文化詩學	R			√				0
	ethnopoetics				OTH	DSC	民族詩學	A			√	√			1
	ethnopoetics				OTH	DSC	民族詩學	A					√		1
	ethnopoetics				#		人種詩學	D			√				2
	ethnosemantics				SEM		人種語義學	R			√				0
*	ethnosemantics			ethnographic semantics	SEM		人類文化語義學	A				√			1
	ethnosemantics				SEM		人類文化語義學	A			√				1
	ethnosemantics				SEM		民俗語義學	A			√				1
	ethos				PHI		人稱訴諸						√		100
	etic				PHT		非位	R				√			0
	etic				PHT		語音學的	A		√					1
	etic				#		非位或素的	D		√					2
	etic				SOC		非位的						√		100
	etic				SOC		無區別的						√		100
	etic vs. emic analysis				SOC		非位對位分析						√		100
	etymological				LEX	HIS	詞源［學］的	R				√			0
	etymological				#		詞源（學）的	D		√					2
	etymological cognate				HIS		詞源同源詞						√		100
	etymological dictionary				LEX	HIS	詞源詞典	R		√	√				0
	etymological doublet				HIS		同源雙式詞						√		100
	etymology				LEX	HIS	詞源學	R		√		√			0
	etymology				GEN	HIS	語源	R		√					0
	etymology				GEN	HIS	詞源	R						√	0
	etymology				LEX	HIS	詞源學	R					√		0
	etymology				#		刑狀學（形狀學）	D		√					2
	etymology				#		文字學	D		√					2
	etymology				#		語源學	D			√				2
	etymology				LEX		詞源學	R			√				0
	etymology				#		義源學	D			√				2
	etymon				LEX	HIS	詞源	R				√			0
	etymon				HIS		詞的原形						√		100
	etymon				HIS		詞源形式						√		100
	etymon				#		語源	D			√				2
*	etymon			proto-lexeme	LEX		原生詞	A			√				1
	etymon				LEX		詞源	A			√				1
	euphemism				GEN	SOC	委婉語	R			√				0
	euphemism				GEN	SOC	委婉語	R					√		0
	euphemism				#		委婉（詞）語	D		√					2
	euphemism				GEN	SOC	避諱	R		√					0
	euphonism				PHT		和諧音						√		100
	euphonism				PHT		悅耳音						√		100
	euphony				PHT		諧音						√		100
	European languages				TYP		歐洲語言						√		100
	European structuralism				GEN		歐洲結構主義						√		100
	evaluation				APL		評量	R						√	0
	evaluation				APL		評估	R		√					0
	evaluation				APL		評估	R					√		0
	evaluation				APL		測驗	A		√					1
	evaluation				APL		評鑑	A		√					1
	evaluation				#		評價	D			√				2
	evaluation metric				CML		評價衡量標準						√		100
	evaluation procedure				APL		評鑑程序	R		√					0
	evaluation procedure				APL		評估程序	R						√	0
	evaluation procedure				APL		評量程序	A		√					1
	evaluation procedure				#		評價程序	D				√			2
	evaluation procedure				#		評價程序	D					√		2
	evaluative comprehension				PSY		評價性理解						√		100
	evasive				DSC		含糊						√		100
	events				SEM		事件詞						√		100
	evidential system				MOR		示證系統						√		100
	evidentiality				PHI		傳信性						√		100
	evocatory				PSY		激發力						√		100
	evoked information				PSY		激發的信息						√		100
	exact word method				APL		原詞填寫法						√		100
	exam question						考題	D					√		2
	exbraciation				HIS		外置						√		100
	exception						例外形式	D					√		2
*	exceptional case marking	ECM	exceptional case marking		SYN		特殊格標記	R				√			0
*	Exceptional Case Marking	ECM	Exceptional Case Marking		SYN		特殊格標記	R					√		0
	exceptional case-marking				SYN		例格格位標誌	A		√					1
	exchange				SYN		回合						√		100
	exchange structure				SYN		回合結構						√		100
	exclamation				GEN		感嘆	R			√	√			0
	exclamation				GEN		感嘆（詞）	A		√					1
	exclamation				#		詠嘆法	D			√				2
	exclamation				SYN		感嘆句						√		100
	exclamation				SYN		感嘆語						√		100
	exclamation mark				WRS		驚嘆號						√		100
	Exclamation Theory				GEN		感嘆說						√		100
	exclamative				SYN		感嘆成分						√		100
	exclamative				SYN		感嘆語氣						√		100
	exclamatory fragment				SYN		感嘆性片斷						√		100
	exclamatory pitch				PHN		感嘆音調						√		100
	exclamatory sentence				GEN		感嘆句	A		√	√				1
	exclamatory sentence				GEN		感嘆句	A					√		1
*	exclamatory sentences			exclamatives	#		感嘆句	D				√			2
	exclusive				SEM		排除（式）的	R		√					0
	exclusive				GEN		偏稱的	A		√					1
	exclusive				SEM		唯一的	A		√					1
	exclusive				SEM		對舉式的	A		√					1
	exclusive (first person) pronoun				MOR		外排（第一人稱）代詞						√		100
	exclusive				SEM		排外式	R				√			0
	exclusive				SEM		［不相容］析取	A				√			1
	exclusive first person				MOR		外排第一人稱						√		100
	excrescent				PHN		外加音						√		100
	exercitives				PRG		行使性話語						√		100
	exhalation				PHT		呼氣						√		100
	exhaustive constant partial ordering				SYN		全局部分恆常序列						√		100
	exhortative				SYN		請求句						√		100
	existent				DSC		存在者						√		100
	existential				SYN	SEM	存在句	A				√			1
	existential				SYN	SEM	存在的	A		√					1
	existential				SYN	SEM	存在的	A					√		1
	existential process				SEM		存在過程						√		100
	existential proposition				SEM		存在命題						√		100
	existential sentence				SYN	SEM	存在句	R		√					0
	existential sentence				SYN	SEM	存在句	R					√		0
	existential sentence				SYN	SEM	存現句	A			√				1
	exocentric				SYN	MOR	外向的	A		√					1
	exocentric				SYN	MOR	異心的	A		√					1
	exocentric				SYN	MOR	離心［構式］	A				√			1
	exocentric				SYN	MOR	離心的	A		√					1
	exocentric				SYN	MOR	外向的	A					√		1
	exocentric compound				SYN		外向複合詞						√		100
	exocentric construction				SYN		異心結構	A		√					1
	exocentric construction				SYN		離心構式	A			√	√			1
	exocentric construction				SYN		離心結構	A		√	√				1
	exocentric construction				SYN		外向結構						√		100
	exoglossic				GEN	SOC	族外語	R			√				0
	exoglossic				GEN	SOC	用族外語的	R						√	0
	exoglossic				#		外層語	D				√			2
	exoglossic				#		非全部或多數人之母語的	D		√					2
	exoglossic				TYP		非本族語的（語言）						√		100
	exolinguistics				GEN		外部語言學						√		100
	exolinguistics				GEN		外在語言學						√		100
	exonormative				GEN		外來規範	R			√				0
	exonormative				GEN		區域外標準語的	A		√					1
	exonormative				SOC		語言規範外的						√		100
	exophasia				NRL		外在語言						√		100
	exophasia				NRL		有聲語言						√		100
	exophor				SEM		外照應						√		100
	exophor				SEM		外照應語						√		100
	exophor				SEM		外指						√		100
	exophor				SEM		外指成分						√		100
	exophora				SYN		外指	A				√			1
	exophora				SYN		外指	A					√		1
	exophora				#		境外照應	D		√					2
	exophora				SEM		外照應						√		100
	exophoric items				SEM		外照應項						√		100
	expand				SYN		展開	R		√					0
*	expand			expansion	SYN		擴展	A				√			1
	expanded definition				SEM		擴展性定義						√		100
	expanded verb form				MOR		動詞擴展形式						√		100
	expanding circle English				APL		發展圈英語						√		100
*	expansion			expand	SYN		擴展	A				√			1
	expansion				SYN		擴充	A		√					1
	expansion				SYN		擴展	A		√	√				1
	expansion				SYN		擴展	A					√		1
	expansion				SEM		擴散						√		100
	expansion				SEM		語義擴展						√		100
	expansion rule				SEM		擴展規則						√		100
	expectancy theory				PSY		期待理論						√		100
	expectation				PSY		期待						√		100
	experiencer				SEM	SYN	感事格	R			√				0
	experiencer				SEM	SYN	感事	A			√	√			1
	experiencer				SEM	SYN	感受格	A				√			1
	experiencer				SEM	SYN	感受者	A		√					1
	experiencer case				SEM		承受格						√		100
	experiencer case				SEM		與格						√		100
	experiential				SEM		經驗體						√		100
	experiential and logical metaphor				SEM		經驗和邏輯隱喻						√		100
	experiential function				SEM		經驗功能						√		100
	experiential view				SEM		經驗觀點						√		100
	experimental design				GEN		實驗設計						√		100
	experimental group				GEN		實驗組						√		100
	experimental method				GEN		實驗法						√		100
*	experimental phonetics			laboratory phonetics	PHT		實驗語音學	R					√		0
	experimental phonetics				PHT		實驗語音學	R		√	√	√			0
	expert system				CML		專家系統	R				√			0
	expert system				CML		專家系統	R					√		0
	expert system				#		專家統計	D			√				2
	expiration				PHT		送氣						√		100
	expiration				PHT		吐氣						√		100
	expiratory accent				PHT		送氣重音						√		100
	expiratory accent				PHT		吐氣重音						√		100
	explanation				#		注疏	D		√					2
	explanation				#		訓釋	D			√				2
	explanatory adequacy				GEN	SYN	解釋充分性	R			√	√			0
	explanatory adequacy				SYN		解釋上的充分性						√		100
	expletive				GEN	SYN	虛位	R				√			0
	expletive				SEM		感嘆語						√		100
	expletive				SEM		填充詞						√		100
	expletive				SEM		咒罵語						√		100
	expletive				GEN	SYN	嵌入的	A		√					1
	expletive				#		附加的	D		√					2
	expletive				GEN	SYN	填補詞	A		√					1
	expletive				#		虛詞	D		√					2
	expletive				#		語助詞	D		√					2
	explicature				SEM		外顯						√		100
	explicit				GEN	SYN	外顯的	R		√					0
	explicit				GEN		明晰	R						√	0
	explicit				GEN		明晰的	R						√	0
	explicit				GEN		明確	A				√			1
	explicit				GEN		明確的	A		√					1
	explicit definition				SEM		明晰的定義						√		100
	explicit performative				SEM		顯性行為句						√		100
	explicitness				GEN		明晰性	R						√	0
	explicitness				GEN		明確性	A				√			1
	explicitness				GEN		清晰性	A		√					1
*	explosion			plosion	PHT		破裂（發音）						√		100
	explosive				PHT		破裂音						√		100
	exponence				MOR		標示						√		100
	exponence				MOR		標示階						√		100
	exponent				APL		釋示的	R				√			0
	exponent				APL		釋示的	R					√		0
	exponent				MOR		語言點樣本						√		100
	exponent				APL		指數	A		√					1
	exponent				APL		代表	A		√					1
	exponent				APL		例子	A		√					1
	exponent				#		樣品	D		√					2
	expositives				DSC		闡述性話語						√		100
	expressed psychological state				PSY		所表達的心理狀態						√		100
	expression				GEN		用語	A		√					1
	expression				#		成語	D		√					2
	expression				#		文字表達	D		√					2
	expression				#		言詞	D		√					2
	expression				#		詞語	D		√					2
	expression				#		詞語	D				√			2
	expression				GEN		表達	A				√			1
	expression plane vs. content plane				SEM		表達平面對內容平面						√		100
	expressive				GEN		表情語	R				√			0
	expressive				GEN		表情［義］	A				√			1
	expressive				#		表達行為	D		√					2
	expressive				PRG		表情語	R		√					0
	expressive function				DSC		表達功能						√		100
	expressive meaning				PRG		表情意義	A		√					1
	expressive meaning				PRG		表情義	A				√			1
	expressive meaning				#		表達意義	D		√					2
	expressive meaning				#		表達意義	D					√		2
	expressiveness				SEM		達						√		100
	expressives				SEM		表達性話語						√		100
	extended meaning				SEM		引申意義						√		100
	extended performative hypothesis				PRG		擴展式行事句式假設						√		100
*	extended standard theory	EST	extended standard theory		SYN		擴充標準理論	R			√				0
*	extended standard theory	EST	extended standard theory		SYN		擴展標準理論	A			√				1
*	extended standard theory	EST	extended standard theory		SYN		擴展的標準理論	A				√			1
	extended standard theory				SYN		擴充標準理論	A		√					1
*	Extended Standard Theory	EST	Extended Standard Theory		SYN		擴充式標準理論						√		100
*	extension			denotation	SEM		外延	R				√			0
*	extension			denotative	SEM		外延	R				√			0
*	extension			denotation	SEM		外延義	R				√			0
*	extension			extensional meaning	SEM		外延義	R				√			0
	extension				SEM		外延	R					√		0
	extension				SEM		引伸	A				√			1
	extension				SEM		擴展	A					√		1
	extension				SEM		外延	R		√					0
	extension				SEM		引伸	A		√					1
	extension				SEM		擴展（語義）	A		√					1
	extension				SEM		引伸法	A		√					1
	extensional				SEM		外延的						√		100
*	extensional meaning			denotation	SEM		外延義	R				√			0
*	extensional meaning			extension	SEM		外延義	R				√			0
*	extensional meaning			denotative meaning	SEM		引申義	A			√				1
*	extensional meaning			denotative meaning	SEM		派生義	A			√				1
	extensional meaning				SEM		擴展意義						√		100
	extensive reading				APL		泛讀						√		100
	external argument				SYN		外部論元						√		100
	external circle English				APL		外圈英語						√		100
	external sandhi				PHN		外部連音變化						√		100
	external speech				DSC		對他人言語						√		100
	external speech				DSC		外部言語						√		100
	external stylistics				DSC		外部語體學						√		100
*	externalized language	E-language	externalized language		GEN	SYN	E語言	R			√				0
*	externalized language	E-language	externalized language		GEN	SYN	外化語言	R			√				0
*	externalized language	E-language	externalized language		GEN	SYN	外在化語言	R			√				0
	externalized language				GEN	SYN	外化語言	R					√		0
*	externalized language	E-language	externalized language		#		E-語言	D				√			2
*	externalized language	E-language	externalized language		#		外表化語言	D				√			2
	externalized language				SYN		外部語言						√		100
	extinct language				TYP		死語言						√		100
	extinction				SOC		消失						√		100
	extra high, pitch				PHT		特高調或調1						√		100
	extra-set (GB2312-80) character				OTH		集外字						√		100
*	extralingual features			extralinguistic features	PRG		超語言特徵						√		100
*	extralingual features			extralinguistic features	PRG		語言外特徵						√		100
	extralinguistic				GEN		語言外的	R				√			0
	extralinguistic				#		語言（學）之外的	D		√					2
	extralinguistic				PRG		非語言的						√		100
	extralinguistic				PRG		語言之外的						√		100
	extralinguistic context				DSC		語外語境						√		100
*	extralinguistic features			extralingual features	DSC		超語言特徵						√		100
*	extralinguistic features			extralingual features	DSC		語言外特徵						√		100
	extralinguistic situation				GEN	PRG	語言以外的情境	R		√					0
	extralinguistic situation				GEN	PRG	語言外情景	A				√			1
	extralinguistics				PRG		外部語言學						√		100
*	extraposition			extrapose	SYN		外置	R				√			0
	extraposition				SYN		外置	R		√					0
	extraposition				SYN		外置	R					√		0
	extraposition				SYN		移尾	A		√					1
	extraposition				SYN		移尾變形	A		√					1
	extraposition from NP				SYN		由NP外置						√		100
	extraposition grammar				SYN		外置語法						√		100
	extrasyllabic				PHN		超音節						√		100
	extrinsic ordering				SYN		外加的次序	A		√					1
	extrinsic ordering				SYN		外在序次	A				√			1
	extrinsic vs. intrinsic ordering of rules				SYN		外在規則序次對內在規則序次						√		100
	eye dialect				WRS		視覺方言						√		100
	f-command				SYN		f統制						√		100
	f-description				SYN		f描寫						√		100
	f-structure				SYN		f結構						√		100
	face				PRG		面子	R				√			0
	face				PRG		面子	R					√		0
	face				PRG		臉面						√		100
	face				#		面子（問題）	D		√					2
	face				#		面相（學）	D		√					2
	face				#		面部表情	D		√					2
*	face threatening act	FTA	face threatening act		PRG		傷面子的行為						√		100
	face to face interaction				DSC		面對面互動交際						√		100
	face validity				PRG		表面效度						√		100
	face validity				PRG		卷面效度						√		100
	face work				PRG		保全臉面						√		100
	face-saving				PRG		保全面子						√		100
	facility value				CML		測試項的難易度						√		100
	facsimile				MOR		相同的						√		100
	facsimile				MOR		一模一樣的						√		100
	fact mood				SEM		陳述式						√		100
	fact mood				SEM		陳述語氣						√		100
	factitive				SEM		使成格						√		100
	factitive				SEM		使役動詞						√		100
	factitive				SEM		使役句						√		100
	factitive case				SEM		使成格						√		100
	factive				SEM		敘實的	R				√			0
	factive				SEM		轉格	A		√					1
	factive				SEM		事實	A		√					1
	factive				#		敘事	D		√					2
	factive predicate				SYN		事實性謂詞						√		100
	factive predicate				SYN		敍實性謂詞						√		100
	factive verb				SYN		敍實動詞						√		100
	factivity				SEM		敘實性	R				√			0
	factivity				SEM		事實性	A		√					1
	factor analysis				APL		因素分析						√		100
	factorization				SYN		因子分解						√		100
	factual comprehension				PSY		事實性理解						√		100
	facultative variant				PHN		任選變體						√		100
	fad proposition				PRG		流行效應						√		100
	fading				PHT		聲音漸弱						√		100
	fading				PHT		消失						√		100
	fading juncture				PHT		漸弱連音						√		100
*	FAHQT	FAHQT	fully automatic high-quality translation		CML		全自動高質量翻譯						√		100
	faithfulness				PHN		信						√		100
	faithfulness				PHN		忠實						√		100
	faithfulness				PHN		忠實度						√		100
	falling				PHT		降的	R		√					0
*	falling			fall	PHT		降式	A				√			1
*	falling			fall	PHT		降調	A				√			1
	falling diphthong				PHT		降二合元音						√		100
	falling juncture				PHT		下降音渡	R				√			0
	falling juncture				PHT		下降連音	A		√					1
	falling juncture				PHT		下降連音	A					√		1
	falling juncture				#		降調	D		√					2
	falling tone				PHT		降調						√		100
	falling-rising				PHT		降升語調						√		100
	falling-rising tone				PHT		降升調						√		100
	false beginner				APL		假初學者						√		100
*	false cognate			faux amis	HIS		虛假同源詞						√		100
	false starts				DSC		一開口即出錯						√		100
	falsetto				PHT		假嗓音	R			√				0
	falsetto				PHT		假嗓	A						√	1
	falsetto				PHT		假聲	A		√	√				1
	familiar form				SOC		熟稱						√		100
	familiarity				SOC		使用頻率						√		100
	familiarity				SOC		熟悉程度						√		100
*	family of languages			language family	TYP		語系						√		100
	family terms				LEX		族系關係詞項						√		100
	family tree				HIS		譜系樹						√		100
	Fanagolo				LAN		法納戈洛語						√		100
	Faroese				LAN		法羅語						√		100
	faucalization				PHT		喉音化						√		100
*	faux amis			false cognate	HIS		虛假同源詞						√		100
	favorite				#		常用	D		√					2
	favorite				#		慣用	D		√					2
	favourite				#		偏愛句	D				√			2
	favourite sentence				APL		常用句						√		100
	favourite sentence				APL		慣用句						√		100
	favourite structure				APL		慣用結構						√		100
	feature				SYN	SEM	因素	A		√					1
	feature				SYN	SEM	特徵	A		√		√			1
	feature				SYN	SEM	特徵	A					√		1
	feature				#		成分	D		√					2
	feature				#		特點	D		√					2
	Feature and Function Grammar				SYN		特徵和功能語法						√		100
	feature choices				SYN		特徵選取						√		100
*	Feature Co-occurrence Restriction	FCR	Feature Co-occurrence Restriction		SYN		特徵共現限制						√		100
	feature matrix				SYN		特徵模型						√		100
	feature norm				SYN		特徵規範						√		100
	feature specification				SYN	MOR	屬性表示	A		√					1
	feature specification				SYN	MOR	特徵賦值	A				√			1
	feature specification defaults				SYN		隱含特徵規則						√		100
	feature structure				SYN	MOR	特徵結構	A			√	√			1
	feature value				SYN	PHN	特徵值	R				√			0
	feature value				SYN	PHN	成分值	A		√					1
	features of generative phonology				PHN		生成音系學特點						√		100
	feedback				DSC	PRG	反饋	R				√			0
	feedback				DSC	PRG	回饋	R		√					0
	feedback				DSC	PRG	反饋	R					√		0
	feeding order				PHN	HIS	饋給序次	R				√			0
	feeding order				PHN	HIS	饋給次序	R		√					0
	feeding order				#		供給次序	D		√					2
	felicity conditioin (felicity condition)				PRG		適切條件	R		√					0
	felicity conditioin (felicity condition)				PRG		恰當性標準	A		√					1
	felicity condition				SEM		合適性條件						√		100
	felicity condition				SEM		恰當條件						√		100
	felicity conditions				PRG		適宜條件	A				√			1
	feminie				MOR		陰性						√		100
	feminie rhyme				PHN		陰韻						√		100
	feminist linguistics				SOC		女權主義語言學						√		100
	fidelity				GEN		信度	R						√	0
	fidelity				!!		忠實度	A			√				1
	fidelity				#		信	D		√					2
	field				GEN		場	A					√		1
	field				SOC		範圍						√		100
	field				SOC		語場						√		100
	field				GEN		域	R		√					0
	field				GEN		［語義］場	A				√			1
	field				GEN		場	A		√					1
	field				GEN		領域	A		√					1
	field				#		界	D		√					2
	field				GEN		［分佈］場	A				√			1
	field				GEN		實地	A		√					1
	field dependence				SOC		場依存						√		100
	field independence				SOC		場獨立						√		100
	field linguistics				GEN		實地語言學						√		100
	field methods				GEN		（信息）採集方法						√		100
	field of discourse				PRG	DSC	語場	R				√			0
	field of discourse				PRG	DSC	言談範圍	A		√					1
	field of discourse				PRG	DSC	言談領域	A		√					1
	field of discourse				DSC		話語的語場						√		100
	field study				TYP		實地調查	A			√				1
	field study				TYP		田野調查	A			√	√			1
	field study				GEN		實地研究						√		100
*	field theory			semantic field theory	SEM		語義場理論	R			√				0
	field theory				SEM		場理論	R				√			0
	field theory				SEM		語義場理論	R					√		0
*	field theory			semantic field theory	#		場論	D			√				2
	field theory				#		場論	D		√					2
	field theory				#		界論	D		√					2
	field work				TYP		田野工作	A		√	√				1
	field work				#		調查工作	D		√					2
	field work				GEN		實地調查						√		100
	field work				GEN		現場資料採集						√		100
	fieldwork				TYP		實地工作	R						√	0
	fieldwork				TYP		田野工作	A				√			1
	figurative language				SEM		形象的語言						√		100
*	figurative meaning			meaning formed through simile or metaphor	DSC		比喻義	R			√				0
	figurative meaning				DSC		比喻義	R		√					0
	figurative sense				DSC		假借義	A		√	√				1
	figure of rhetoric				SEM		修辭比喻						√		100
	figure of speech				DSC		修辭格	R			√				0
	figure of speech				DSC		修辭格式	R			√				0
	figure of speech				DSC		辭格	R			√				0
	figure of speech				DSC		辭格	R					√		0
	figure of speech				DSC		辭式	A			√				1
	figure of speech				DSC		比喻	A					√		1
	figure of speech				DSC		修辭格	R		√					0
	figure of speech				DSC		辭格	R		√					0
	figure of speech				DSC		修辭手段	A		√					1
	figure of speech				DSC		比喻	A		√					1
	figure of speech				DSC		比喻之辭	A		√					1
	Fijian				LAN		斐濟語						√		100
	file change semantics				SEM		文本更新語義學						√		100
	filled pause				GEN		填聲停頓	A			√				1
	filled pause				GEN		有聲停頓	A				√			1
	filled pause				GEN		有聲停頓	A					√		1
	filled pause				#		（用“呀＂，“唉＂等的）填補停頓	D		√					2
	filled pause				#		躊躇	D		√					2
	filled pause				DSC		相對停頓						√		100
	filler				DSC		填充詞						√		100
	filler				DSC		語言填項						√		100
	filler [1]				GEN	PRG	填充項	R			√	√			0
	filler [2]				GEN	PRG	填補詞	R		√					0
	filler class				MOR		填空詞類						√		100
	filter				SYN		濾除	A		√					1
	filter				SYN		過濾	A				√			1
	filter				SYN		過濾條件	A				√			1
	filter				PSY		過濾（式）						√		100
	filter				PSY		鑒別式						√		100
*	final			tail	GEN		尾［成分］	R				√			0
	final				#		最後的	D					√		2
	final				PHN		尾的						√		100
*	final			rhyme	#		韻基	D			√				2
*	final			rime	#		韻基	D			√				2
	final				#		最後的	D		√					2
	final				#		結果的	D		√					2
	final				PHN		韻母	R		√					0
	final				PHN		韻母	R			√				0
	final				#		聲類	D		√					2
	final				PHN		韻母	R			√				0
	final glide				PHT		尾流						√		100
	finite				GEN		有限的	R		√					0
	finite				SYN		定式的	A				√			1
	finite				#		有定的	D		√					2
	finite clause				SYN		定式小句	A				√			1
	finite clause				SYN		限定子句	A		√					1
	finite clause				SYN		定謂句						√		100
	finite language				SYN		有限語言						√		100
*	finite state automation	FSA	finite state automation		CML		有限狀態自動機						√		100
	finite state grammar				SYN		有限狀態語法						√		100
*	finite state transducer	FST	finite state transducer		CML		有限狀態變換器						√		100
	finite verb				SYN		定式動詞						√		100
	finite verb				SYN		限定動詞						√		100
	finite-state language				GEN		有限狀態語言	R			√	√			0
	finite-state language				#		單向線性語法	D			√				2
	finite-state language				#		正則語法	D			√				2
	finite-state language				#		類語法	D			√				2
	Finnish				LAN		芬蘭語						√		100
	Finno-Ugrian Linguistics				GEN		芬蘭－烏戈爾語言學						√		100
	Finno-Ugric				TYP		芬蘭－烏戈爾語						√		100
	first articulation				PHN		第一分節						√		100
	first infinitive				SYN		第一不定式						√		100
*	first language	L1	first language		GEN	PSY	第一語言	R					√		0
	first language				GEN	PSY	第一語言	R		√	√	√			0
	first language				APL		母語						√		100
	first order language				CML		第一級語言						√		100
	first perfect				SYN		第一完成時						√		100
	first person				GEN	MOR	第一人稱	R		√		√			0
	first person				GEN	MOR	第一人稱	R					√		0
	first possessive				SYN		第一所有格形式						√		100
	first sound shift				PHN		第一音變						√		100
	first sound shift				PHN		第一語音演變						√		100
	first-level Chinese characters				WRS		一級漢字						√		100
	first-order meaning vs. second-order meaning				SEM		第一性意義對第二性意義						√		100
	first-sister principle				SYN		比鄰原則						√		100
	Firthian linguistics				GEN		弗斯語言學						√		100
	five clocks						五只鐘	D					√		2
	fixation				PSY		固定形式						√		100
	fixed accent				GEN	PHT	固定重音	R		√		√			0
	fixed accent				GEN	PHT	固定重音	R					√		0
*	fixed expression			set expression	GEN		固定詞語	R				√			0
	fixed expression				GEN		固定說辭	A		√					1
	fixed response item				APL		固定反應項						√		100
	fixed stress				PHT		固定重音	R		√		√			0
	fixed stress				PHT		固定重音	R					√		0
	fixed word order				SYN		固定詞序						√		100
*	flap			tap	PHT		閃音	R			√				0
	flap				PHT		閃音	R		√		√			0
	flap				PHT		閃音	R					√		0
*	flap			tap	#		彈音	D			√				2
*	flap			tap	#		拍音	D			√				2
	flap				#		拍音	D		√					2
	flapped				PHT		閃音	R		√					0
	flapped				PHT		閃音性的	R						√	0
	flapped				#		一閃的	D				√			2
	flapped				#		拍音	D		√					2
	flashcard						教學卡片	D					√		2
	flat				PHT		降音性	R		√					0
	flat				#		平唇的	D		√					2
	flat				#		平鋪	D				√			2
	flat				#		齊口的	D		√					2
	flat				#		窄口［音］	D				√			2
	flat				#		平舌的	D 		√					100
	flat				#		帶聲的	D		√					2
	flat				#		濁的	D 		√					100
	flat adverb				MOR		無詞尾副詞						√		100
	flat vs. non-flat or plain				PHT		降音對非降音或平音						√		100
	flection				MOR		屈折變化						√		100
	flectional language				TYP		屈折語言						√		100
	Flemish				LAN		佛蘭芒語						√		100
*	FLES	FLES	Foreign Language in Elementary School				小學外語	D					√		2
	flexion				MOR		詞尾變化						√		100
	flexion				MOR		屈折						√		100
	flexional ending				MOR		屈折詞尾						√		100
	floating element				SYN		漂浮成分						√		100
	floating quantifier				SEM		浮動量詞						√		100
	fluency				APL		流利						√		100
	fluency				APL		流利度						√		100
	focal area				TYP		言語中心區	R		√					0
	focal area				TYP		言語中心區	R					√		0
	focal area				TYP		中心地域	A				√			1
	focal area				#		方言區的文化中心	D		√					2
	focal colours				SEM		焦點顏色						√		100
	focus				SEM	SYN	焦點	R		√	√	√			0
	focus				SEM	SYN	焦點	R					√		0
	focus			topicalization	#		焦點主題句	D		√					2
	focus				SEM		強調						√		100
*	folk etymology			popular etymology	OTH		文字的通俗變化	R		√					0
*	folk etymology			popular etymology	LEX		通俗詞源學	R		√					0
*	folk etymology			popular etymology	LEX		俗詞源學	A				√			1
*	folk etymology			popular etymology	OTH		通俗詞源解釋	A						√	1
*	folk etymology			popular etymology	LEX		俗詞源學	A					√		1
*	foot			feet	PHT		音步	R				√			0
	foot				PHT		音步	R			√				0
	foot				PHT		音步	R					√		0
	foot				#		韻腳	D 		√					100
	foot				PHT		音步	R		√					0
	Foot Feature Principle				PHN		次特徵原則						√		100
	foot types of English poetry						英語詩歌的音步類型	D					√		2
	footing				PRG		語步變化						√		100
	force				SEM		用意						√		100
	foreground				GEN	DSC	前景	R		√		√			0
	foreground(ed) information				DSC		前境信息						√		100
